# skill	id	name	xpPerHour	benchmarkLevel	notes	source
HERBLORE	brews	Saradomin brews	450000	81	2500 potions/hour from unfinished potions; fast banking.	https://oldschool.runescape.wiki/w/Herblore_training
HUNTER	red-salamanders	Red salamanders · level 60	80000	60	Four traps; lower end of 80–85k range.	https://oldschool.runescape.wiki/w/Hunter_training
HUNTER	black-salamanders	Black salamanders · level 73	100000	73	Wilderness, five traps; lower end of 100–125k range.	https://oldschool.runescape.wiki/w/Hunter_training
MAGIC	plank-auto	Plank Make · automatic	90000	86	Dream Mentor; around 1000 casts/hour with banking.	https://oldschool.runescape.wiki/w/Pay-to-play_Magic_training
MAGIC	plank-manual	Plank Make · manual	166000	86	Dream Mentor; manually cast on every log.	https://oldschool.runescape.wiki/w/Pay-to-play_Magic_training
PRAYER	chaos-dragon	Dragon bones · Chaos altar	504000	1	2000 offerings/hour, manually used; Wilderness interruptions can reduce this.	https://oldschool.runescape.wiki/w/Pay-to-play_Prayer_training
PRAYER	gilded-dragon	Dragon bones · gilded altar	642600	1	2550 bones/hour; two lit burners, manual use and fast banking.	https://oldschool.runescape.wiki/w/Pay-to-play_Prayer_training
RANGED	chins-75	Grey chins · level 75	570000	75	MM2 monkeys; best damage gear, Rigour, divine potions, two dancing alts; 1970 chins/hour.	https://oldschool.runescape.wiki/w/Pay-to-play_Ranged_training
RANGED	chins-85	Grey chins · level 85	640000	85	MM2 monkeys; best damage gear, Rigour, divine potions, two dancing alts; 1970 chins/hour.	https://oldschool.runescape.wiki/w/Pay-to-play_Ranged_training
RUNECRAFT	blood	Arceuus blood runes	36000	77	38 Mining/Crafting, medium Kourend diary; run to altar. Passive Mining/Crafting overlaps.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	ourania	Ourania · level 90	74716	90	Pure essence, best pouch; no Daeyalt mining time or bonus.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
SAILING	tempor	Tempor Tantrum · Marlin	24519	30	Wiki target-time benchmark; suitable boat and trial unlocks. Guide flags rates as potentially outdated.	https://oldschool.runescape.wiki/w/Sailing_training
SAILING	jubbly	Jubbly Jive · Marlin	88923	55	Wiki target-time benchmark; suitable boat and trial unlocks. Guide flags rates as potentially outdated.	https://oldschool.runescape.wiki/w/Sailing_training
SAILING	gwenith	Gwenith Glide · Marlin	172496	72	Wiki target-time benchmark; suitable boat and trial unlocks. Guide flags rates as potentially outdated.	https://oldschool.runescape.wiki/w/Sailing_training
SLAYER	spectres	Aberrant spectres task	35000	60	Task-only rate, not a whole task-list average; use Custom for your overall plan.	https://oldschool.runescape.wiki/w/Slayer_training
SLAYER	abyssal	Abyssal demons · barrage	80000	85	Task-only rate, not a whole task-list average; barrage setup required.	https://oldschool.runescape.wiki/w/Slayer_training
SMITHING	gold	Blast Furnace · gold	380000	40	Goldsmith gauntlets; fast banking, stamina and furnace fees.	https://oldschool.runescape.wiki/w/Pay-to-play_Smithing_training
SMITHING	gold-no-gauntlets	Blast Furnace · no gauntlets	164000	40	Gold bars without goldsmith gauntlets; fast banking.	https://oldschool.runescape.wiki/w/Pay-to-play_Smithing_training
THIEVING	summer	Summer Garden	140000	65	Realistic Wiki estimate including banking sq'irks.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	farmers	Master Farmers	115000	94	Hard Ardougne diary; lower end of 115–120k range.	https://oldschool.runescape.wiki/w/Thieving_training
WOODCUTTING	redwoods	Redwoods · dragon axe	55000	90	Lower end of level-90 rate, drop logs for best XP.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
WOODCUTTING	teaks	Teaks · level 80	80000	80	Crystal felling axe and rations; no tick manipulation or Forestry events.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
MINING	granite-75	3-tick granite · level 75	109000	75	Varrock armour, prospector and celestial ring; practised tick manipulation.	https://oldschool.runescape.wiki/w/Pay-to-play_Mining_training
MINING	granite-95	3-tick granite · level 95	119000	95	Varrock armour, prospector and celestial ring; practised tick manipulation.	https://oldschool.runescape.wiki/w/Pay-to-play_Mining_training
MINING	stars-90	Shooting Stars · AFK	30000	90	Dragon pickaxe; consistent mining. Travel and finding stars can lower XP/hr. Stardust can buy gems for ironmen.	https://oldschool.runescape.wiki/w/Shooting_Stars
MINING	motherlode-61	Motherlode Mine · low effort · 61	45000	61	Dragon pickaxe, prospector, upper floor and Super Hopper. Ores banked for Smithing.	https://oldschool.runescape.wiki/w/Motherlode_Mine
MINING	motherlode-80	Motherlode Mine · low effort · 80	52000	80	Dragon pickaxe, prospector, upper floor and Super Hopper. Ores banked for Smithing.	https://oldschool.runescape.wiki/w/Motherlode_Mine
MINING	motherlode-90	Motherlode Mine · low effort · 90	59000	90	Dragon pickaxe, prospector, upper floor and Super Hopper. Ores banked for Smithing.	https://oldschool.runescape.wiki/w/Motherlode_Mine
MINING	amethyst	Amethyst · AFK / ironman	19900	92	Dragon pickaxe, Varrock armour 4; cut amethyst into ammunition tips on site.	https://oldschool.runescape.wiki/w/Ultimate_Ironman_Guide/Mining
SAILING	salvage-crew	Large shipwrecks · crew AFK	7500	55	Two crewmates operate hooks; sort salvage when full. Lower end of Wiki 7.5–8k rate; not player-operated salvaging.	https://oldschool.runescape.wiki/w/Sailing_training
SAILING	salvage-fremennik	Fremennik shipwrecks · AFK	60000	81	Two rune hooks with Ex-Captain Siad and Cabin Boy Jenkins; sort when full. No extractor bonus.	https://oldschool.runescape.wiki/w/Fremennik_shipwreck
SAILING	salvage-pirate	Pirate shipwrecks · low effort	45000	64	Player salvages with Jobless Jim and two adamant hooks; sorting required.	https://oldschool.runescape.wiki/w/Pirate_shipwreck
SAILING	salvage-mercenary	Mercenary shipwrecks	60000	73	Player plus Cabin Boy Jenkins, two rune hooks; crew covers sorting breaks. No extractor bonus.	https://oldschool.runescape.wiki/w/Mercenary_shipwreck
SMITHING	foundry-steel-mith	Giants' Foundry · Steel / mithril	164640	81	Ironman option; 14/14 alloy, optimal moulds and play, no Smiths' Uniform. Level 81 benchmark for moulds; gathering materials excluded.	https://oldschool.runescape.wiki/w/Giants%27_Foundry/Strategies
SMITHING	foundry-mith-addy	Giants' Foundry · Mithril / adamant	198000	81	Ironman option; 14/14 alloy, optimal moulds and play, no Smiths' Uniform. Level 81 benchmark for moulds; gathering materials excluded.	https://oldschool.runescape.wiki/w/Giants%27_Foundry/Strategies
SMITHING	foundry-iron-steel	Giants' Foundry · Iron / steel	133920	81	Ironman option; 14/14 alloy, optimal moulds and play, no Smiths' Uniform. Level 81 benchmark for moulds; gathering materials excluded.	https://oldschool.runescape.wiki/w/Giants%27_Foundry/Strategies
SMITHING	foundry-uim	Giants' Foundry · UIM shops	160000	70	Buy mithril/adamant platebodies, includes supply trips; no moulds unlocked, lower end of 160–165k range.	https://oldschool.runescape.wiki/w/Ultimate_Ironman_Guide/Smithing
FISHING	karambwan-65	Karambwans · AFK · 65	29000	65	Fish barrel; includes banking and some idling, no angler outfit. Bait already collected; Tai Bwo Wannai Trio access.	https://oldschool.runescape.wiki/w/Pay-to-play_Fishing_training
FISHING	karambwan-80	Karambwans · AFK · 80	34900	80	Fish barrel; includes banking and some idling, no angler outfit. Bait already collected; Tai Bwo Wannai Trio access.	https://oldschool.runescape.wiki/w/Pay-to-play_Fishing_training
FISHING	karambwan-90	Karambwans · AFK · 90	38700	90	Fish barrel; includes banking and some idling, no angler outfit. Bait already collected; Tai Bwo Wannai Trio access.	https://oldschool.runescape.wiki/w/Pay-to-play_Fishing_training
FISHING	anglerfish	Anglerfish · AFK	23000	90	Level-90 benchmark; useful banked food, rate falls with idling.	https://oldschool.runescape.wiki/w/Pay-to-play_Fishing_training
CRAFTING	glass-lens	Lantern lenses · low effort	96250	49	1750 glass items/hour with banked molten glass. Gathering sand/seaweed and making glass excluded.	https://oldschool.runescape.wiki/w/Pay-to-play_Crafting_training
CRAFTING	glass-orb	Empty light orbs · low effort	122500	87	1750 glass items/hour with banked molten glass. Gathering sand/seaweed and making glass excluded.	https://oldschool.runescape.wiki/w/Pay-to-play_Crafting_training
CRAFTING	charter-lens	Charter glass · ironman	65000	61	Lantern lenses; buy supplies, Superglass Make, blow and hop. 77 Magic and Lunar Diplomacy. Lower end of 65–70k range.	https://oldschool.runescape.wiki/w/Ironman_Guide/Crafting
HERBLORE	mixology	Mastering Mixology · ironman	105000	81	XP-focused strategy with premade mixes. Banked paste; herb gathering and paste preparation excluded. Active method.	https://oldschool.runescape.wiki/w/Mastering_Mixology/Strategies
HUNTER	monkeys-afk	Maniacal monkeys · low effort	50000	60	Monkey Madness II and Kruk greegree; bananas, deadfall traps. Lower end of level-60 50–65k range.	https://oldschool.runescape.wiki/w/Ultimate_Ironman_Guide/Hunter
HUNTER	herbiboar	Herbiboar · ironman	115000	80	Stamina potions, herb sack; lower end of 115–130k, attentive play.	https://oldschool.runescape.wiki/w/Ironman_Guide/Hunter
FARMING	tithe	Tithe Farm · ironman	90000	74	Active method, lower end of 90–100k range. No bought tree seeds.	https://oldschool.runescape.wiki/w/Farming_training
CONSTRUCTION	homes-adept	Mahogany Homes · adept	155000	50	Ironman option; plank sack, banked teak planks and efficient teleports. Lower end of 155–200k range.	https://oldschool.runescape.wiki/w/Construction_training
CONSTRUCTION	homes-uim	Mahogany Homes · UIM	75000	50	Adept contracts; cut teaks and make planks on route. Sack, log basket and ring of elements; lower end of 75–85k.	https://oldschool.runescape.wiki/w/Ultimate_Ironman_Guide/Construction
FLETCHING	magic-unstrung	Magic longbows (u) · AFK	164700	85	1800 bows/hour with regular knife; banked logs, no fletching knife bonus.	https://oldschool.runescape.wiki/w/Fletching_training
FLETCHING	vale-magic	Vale Totems · ironman	340000	85	Magic logs, log basket, maximum-efficiency 8-totem route; logs banked, no bow strings.	https://oldschool.runescape.wiki/w/Ironman_Guide/Fletching
WOODCUTTING	blisterwood	Blisterwood · low effort	65000	62	Partial Sins of the Father; up-to rate before level 90. Tree never depletes but clicks to resume are needed.	https://oldschool.runescape.wiki/w/Ultimate_Ironman_Guide/Woodcutting
THIEVING	wealthy	Wealthy citizens · low effort	65000	50	Children of the Sun; wait for distractions, no world hopping.	https://oldschool.runescape.wiki/w/Thieving_training
MAGIC	string-jewellery	String Jewellery · low effort	150000	80	Lunar spellbook, banked unstrung amulets; up-to rate.	https://oldschool.runescape.wiki/w/Pay-to-play_Magic_training
AGILITY	roof-draynor	Draynor Village rooftop	10000	1	Perfect-lap ceiling; failures and pauses lower this rate.	https://oldschool.runescape.wiki/w/Rooftop_Agility_Courses
AGILITY	roof-alkharid	Al Kharid rooftop	12000	20	Perfect-lap ceiling; failures and pauses lower this rate.	https://oldschool.runescape.wiki/w/Rooftop_Agility_Courses
AGILITY	roof-varrock	Varrock rooftop	14000	30	Perfect-lap ceiling; failures and pauses lower this rate.	https://oldschool.runescape.wiki/w/Rooftop_Agility_Courses
AGILITY	roof-canifis	Canifis rooftop	19700	40	Perfect-lap ceiling; failures and pauses lower this rate.	https://oldschool.runescape.wiki/w/Rooftop_Agility_Courses
AGILITY	falador	Falador rooftop	29000	50	Approximate training rate.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	seers	Seers rooftop	40000	60	No Camelot bank teleport.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	seers-diary	Seers rooftop · hard diary	56000	60	Kandarin hard diary; bank teleport between laps.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	poll	Pollnivneach rooftop	47000	70	Lower end of 47–51k range; no diary.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	poll-diary	Pollnivneach · hard diary	53000	70	Desert hard diary; lower end of 53–58k range.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	rellekka	Rellekka rooftop	50000	80	No diary; lower end of 50–53k range.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	rellekka-diary	Rellekka · hard diary	59000	80	Fremennik hard diary; lower end of 59–63k range.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	ardy	Ardougne rooftop	66000	90	Lower end of 66–70k range.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	werewolf	Werewolf course	50000	60	Creature of Fenkenstrain; ring of charos. About 50–55k at lower levels.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	werewolf-high	Werewolf · practised	67000	93	About 67–68k at high levels; low weight and stick return.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	prif	Prifddinas course	60000	75	Song of the Elves; follow portal spawns.	https://oldschool.runescape.wiki/w/Agility_training
AGILITY	prif-high	Prifddinas · level 90	65000	90	Song of the Elves; portal shortcuts; practised laps.	https://oldschool.runescape.wiki/w/Agility_training
COOKING	karambwan-normal-30	Karambwan · normal · level 30	141000	30	Tai Bwo Wannai Trio. Hosidius kitchen; Wiki AFK benchmark including burns.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-1tick-30	Karambwan · 1-tick · level 30	464000	30	Tai Bwo Wannai Trio. 5,000 fish/hour at Rogues' Den; burn rate included; intensive clicking.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-normal-50	Karambwan · normal · level 50	180000	50	Tai Bwo Wannai Trio. Hosidius kitchen; Wiki AFK benchmark including burns.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-1tick-50	Karambwan · 1-tick · level 50	605000	50	Tai Bwo Wannai Trio. 5,000 fish/hour at Rogues' Den; burn rate included; intensive clicking.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-normal-70	Karambwan · normal · level 70	218000	70	Tai Bwo Wannai Trio. Hosidius kitchen; Wiki AFK benchmark including burns.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-1tick-70	Karambwan · 1-tick · level 70	742000	70	Tai Bwo Wannai Trio. 5,000 fish/hour at Rogues' Den; burn rate included; intensive clicking.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-normal-80	Karambwan · normal · level 80	251000	80	Tai Bwo Wannai Trio. Hosidius kitchen; Wiki AFK benchmark including burns.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-1tick-80	Karambwan · 1-tick · level 80	813000	80	Tai Bwo Wannai Trio. 5,000 fish/hour at Rogues' Den; burn rate included; intensive clicking.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-normal-90	Karambwan · normal · level 90	263000	90	Tai Bwo Wannai Trio. Hosidius kitchen; Wiki AFK benchmark including burns.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	karambwan-1tick-90	Karambwan · 1-tick · level 90	883000	90	Tai Bwo Wannai Trio. 5,000 fish/hour at Rogues' Den; burn rate included; intensive clicking.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	tuna	Tuna · normal	85000	30	Lower end of Wiki level-band rate; Hosidius kitchen, cooking gauntlets where applicable; elite Kourend diary from level 79. Burns included.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	lobsters	Lobsters · normal	120000	40	Lower end of Wiki level-band rate; Hosidius kitchen, cooking gauntlets where applicable; elite Kourend diary from level 79. Burns included.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	swordfish	Swordfish · normal	165000	68	Lower end of Wiki level-band rate; Hosidius kitchen, cooking gauntlets where applicable; elite Kourend diary from level 79. Burns included.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	monkfish	Monkfish · normal	165000	68	Lower end of Wiki level-band rate; Hosidius kitchen, cooking gauntlets where applicable; elite Kourend diary from level 79. Burns included.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	sharks	Sharks · normal	275000	80	Lower end of Wiki level-band rate; Hosidius kitchen, cooking gauntlets where applicable; elite Kourend diary from level 79. Burns included.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	anglerfish	Anglerfish · normal	305000	84	Lower end of Wiki level-band rate; Hosidius kitchen, cooking gauntlets where applicable; elite Kourend diary from level 79. Burns included.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
COOKING	manta	Manta rays · normal	285000	91	Lower end of Wiki level-band rate; Hosidius kitchen, cooking gauntlets where applicable; elite Kourend diary from level 79. Burns included.	https://oldschool.runescape.wiki/w/Pay-to-play_Cooking_training
FLETCHING	maple-long	Maple longbows (u) · ironman	100000	55	Ordinary knife; banked logs, e.g. Miscellania. Supply gathering excluded.	https://oldschool.runescape.wiki/w/Ironman_Guide/Fletching
FLETCHING	maple-knife	Maple longbows (u) · fletching knife	150000	55	Requires unlocked fletching knife; banked maple logs.	https://oldschool.runescape.wiki/w/Ironman_Guide/Fletching
CRAFTING	golem-goat	Golems · goat fur	141520	60	Fallen From Grace / Wyrmscraig; Wiki table at 58 golems/hour. Furs banked; gathering excluded. Wiki text accessed via OSRS Index.	https://oldschool.runescape.wiki/w/Golem_crafting
CRAFTING	golem-kebbit	Golems · dashing kebbit fur	157760	60	Fallen From Grace / Wyrmscraig; Wiki table at 58 golems/hour. Furs banked; gathering excluded. Wiki text accessed via OSRS Index.	https://oldschool.runescape.wiki/w/Golem_crafting
CRAFTING	golem-moonlight	Golems · moonlight antelope fur	160080	60	Fallen From Grace / Wyrmscraig; Wiki table at 58 golems/hour. Furs banked; gathering excluded. Wiki text accessed via OSRS Index.	https://oldschool.runescape.wiki/w/Golem_crafting
CRAFTING	golem-low	Golems · low intensity / own furs	100000	60	Fallen From Grace; low-intensity route including local goat furs. Hunter XP overlaps this time. Wiki text via OSRS Index.	https://oldschool.runescape.wiki/w/Golem_crafting
HERBLORE	prayer	Prayer potions	218750	38	Derived: 2,500 potions/hour x 87.5 XP; unfinished potions and secondaries banked; gathering excluded.	https://oldschool.runescape.wiki/w/Herblore_training
HERBLORE	super-restore	Super restores	356250	63	Derived: 2,500 potions/hour x 142.5 XP; unfinished potions and secondaries banked; gathering excluded.	https://oldschool.runescape.wiki/w/Herblore_training
HUNTER	rumours-master	Hunters' Rumours · master	160000	91	Optimised block list; pre-99 estimate without Hunter cape.	https://oldschool.runescape.wiki/w/Hunters%27_Rumours/Strategies
HUNTER	rumours-teco	Hunters' Rumours · Teco expert	225000	91	Upper benchmark with complete level-91+ Teco block list and efficient travel.	https://oldschool.runescape.wiki/w/Hunters%27_Rumours/Strategies
HUNTER	goats-telegrab	Goats · Telekinetic Grab	102000	80	Derived: approximately 600 goats/hour x (160 harvest XP + 10 spell catch XP). Sheep Herder; Wyrmscraig; moderate intensity. Wiki text via OSRS Index.	https://oldschool.runescape.wiki/w/Goat_hunting
HUNTER	red-chins	Red chinchompas · normal	140000	99	High-level ceiling without tick manipulation; Eagles' Peak; access to hunting grounds recommended. See research notes for corroborating guide.	https://oldschool.runescape.wiki/w/Hunter_training
HUNTER	black-chins	Black chinchompas · solo tick manipulation	167000	80	Wiki solo benchmark; practised tick manipulation; Wilderness PK interruptions assumed every 1–2 hours.	https://oldschool.runescape.wiki/w/Hunter_training
HUNTER	tecu-79	Tecu salamanders · 4 traps	95000	79	Children of the Sun; net traps. Benchmark from Theoatrix guide; see research notes.	https://oldschool.runescape.wiki/w/Tecu_salamander
HUNTER	tecu-80	Tecu salamanders · 5 traps	110000	80	Children of the Sun; net traps. Benchmark from Theoatrix guide; see research notes.	https://oldschool.runescape.wiki/w/Tecu_salamander
RUNECRAFT	souls	Soul runes · Arceuus	44000	90	Active high end; lower-attention rate around 30k. Requires 38 Mining/Crafting; no runners.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	souls-low	Soul runes · relaxed	30000	90	Lower-attention benchmark; 38 Mining and Crafting required.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
RUNECRAFT	lava	Lava runes · solo / colossal pouch	102100	85	High efficiency; colossal pouch, Magic Imbue, binding necklace and fast banking teleports. Pure essence; no runners.	https://oldschool.runescape.wiki/w/Pay-to-play_Runecraft_training
THIEVING	ardy-55	Ardougne knights · level 55	86000	55	Medium Ardougne diary and dodgy necklaces; Wiki rates allow for mistakes/pouch opening.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	ardy-70	Ardougne knights · level 70	124000	70	Medium Ardougne diary and dodgy necklaces; Wiki rates allow for mistakes/pouch opening.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	ardy-80	Ardougne knights · level 80	159000	80	Medium Ardougne diary and dodgy necklaces; Wiki rates allow for mistakes/pouch opening.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	ardy-90	Ardougne knights · level 90	209000	90	Medium Ardougne diary and dodgy necklaces; Wiki rates allow for mistakes/pouch opening.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	ardy-95	Ardougne knights · level 95	240000	95	Medium Ardougne diary and dodgy necklaces; Wiki rates allow for mistakes/pouch opening.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	plunder-71	Pyramid Plunder · level 71	125000	71	Solo; pharaoh's sceptre; loot final-room urns and chests. Access to Sophanem.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	plunder-81	Pyramid Plunder · level 81	190000	81	Solo; pharaoh's sceptre; loot final-room urns and chests. Access to Sophanem.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	plunder-91	Pyramid Plunder · level 91	270000	91	Solo; pharaoh's sceptre; loot final-room urns and chests. Access to Sophanem.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	blackjack-45	Blackjacking · level 45	86000	45	Practised; wines/resupply included; partial The Feud. Menaphite thugs from 65.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	blackjack-65	Blackjacking · level 65	209000	65	Practised; wines/resupply included; partial The Feud. Menaphite thugs from 65.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	blackjack-80	Blackjacking · level 80	233000	80	Practised; wines/resupply included; partial The Feud. Menaphite thugs from 65.	https://oldschool.runescape.wiki/w/Thieving_training
THIEVING	rogues	Rogues' Castle chests · banking	260000	84	Deep Wilderness; lower end of 260–270k range with banking. PK interruptions affect rate.	https://oldschool.runescape.wiki/w/Thieving_training
WOODCUTTING	ironwood	Ironwood trees · AFK	80000	99	Requires 80 Woodcutting / 72 Sailing; high-level dragon axe benchmark, Sunbleak Island. Wiki text via OSRS Index.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
WOODCUTTING	bloodwood	Bloodwood trees · active	130000	77	The Blood Moon Rises; three-tree rotation, dragon felling axe. Lower end of 130–210k range. Wiki text via OSRS Index.	https://oldschool.runescape.wiki/w/Pay-to-play_Woodcutting_training
WOODCUTTING	bloodwood-afk	Engorged bloodwood · AFK	65000	77	The Blood Moon Rises; lower end of 65–70k range. Reduced sap; Wiki text via OSRS Index.	https://oldschool.runescape.wiki/w/Engorged_bloodwood_tree
